id,message,urgency_level,urgency_score,service_type,timestamp
31,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Local police,2025-09-21T04:57:21.701Z
32,"My husband has had terrible chest pain for 30 minutes, he's sweating a lot, he says it feels like a huge weight on his chest, he's 55 and has a heart condition",urgent,3,Fire Department,2025-09-28T17:16:11.987Z
33,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Health hotline,2025-10-06T10:43:46.651Z
34,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,General info,2025-10-07T08:30:07.783Z
35,"I just had a motorcycle accident on ring road, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Police,2025-10-10T03:03:27.243Z
36,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Police,2025-09-29T18:23:09.979Z
37,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,General info,2025-10-02T04:59:35.631Z
38,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Medical advice,2025-09-28T02:31:36.148Z
39,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Police,2025-10-05T10:01:19.970Z
40,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Local police,2025-09-12T05:29:34.024Z
41,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Police,2025-09-19T23:01:28.258Z
42,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Police,2025-09-13T13:58:18.540Z
43,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Health hotline,2025-09-17T00:31:01.925Z
44,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,Fire Department,2025-09-18T22:28:09.300Z
45,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Fire Department,2025-10-02T08:43:34.592Z
46,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,Community line,2025-09-28T11:51:54.544Z
47,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,Fire Department,2025-10-09T06:19:09.125Z
48,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,EMS,2025-10-09T09:24:12.119Z
49,"Hi, I made some homemade cookies yesterday and they came out perfectly, the house smelled amazing",none,0,N/A,2025-09-11T04:13:15.280Z
50,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Local police,2025-09-22T13:00:11.525Z
51,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,Police,2025-09-19T08:07:33.032Z
52,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,Police,2025-09-29T03:21:16.233Z
53,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,Fire Department,2025-10-08T20:56:34.014Z
54,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Medical advice,2025-10-10T04:27:44.600Z
55,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-09-22T00:08:36.073Z
56,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,EMS,2025-09-20T18:00:57.533Z
57,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,On-call doctor,2025-09-30T15:46:04.009Z
58,"My knee hurts when I go up the stairs for a few days now, it's not unbearable but it's annoying, I think it might be arthritis",low,1,Medical advice,2025-09-15T19:35:02.971Z
59,"I'd like to have information on how to take my medications, I have a prescription but I don't understand well when I should take them in relation to meals",low,1,Medical advice,2025-09-27T10:19:03.315Z
60,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Fire Department,2025-10-03T00:58:02.307Z
61,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,EMS,2025-10-03T01:58:53.910Z
62,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,On-call doctor,2025-09-16T22:48:42.995Z
63,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,On-call doctor,2025-10-08T23:31:53.867Z
64,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Medical advice,2025-09-14T18:19:07.481Z
65,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Fire Department,2025-09-26T15:17:09.858Z
66,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,Fire Department,2025-09-15T15:00:45.656Z
67,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,N/A,2025-09-23T20:13:45.208Z
68,"I just had a motorcycle accident on County Road 120, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Fire Department,2025-10-04T19:22:47.455Z
69,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Police,2025-09-27T06:24:04.559Z
70,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,General info,2025-10-06T12:49:48.300Z
71,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,N/A,2025-09-15T16:47:39.366Z
72,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Fire Department,2025-09-16T13:17:26.414Z
73,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Local police,2025-09-18T21:33:25.101Z
74,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,On-call doctor,2025-10-03T03:10:12.606Z
75,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,EMS,2025-09-14T22:23:16.993Z
76,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,EMS,2025-10-01T04:04:59.407Z
77,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-09-30T17:48:24.398Z
78,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Fire Department,2025-10-09T11:51:19.077Z
79,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Police,2025-10-01T05:52:03.345Z
80,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,EMS,2025-09-28T23:32:15.180Z
81,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Fire Department,2025-10-08T14:55:12.036Z
82,"My 5-year-old daughter has had a fever that won't go down for 48 hours, she's at 39.5°C even after paracetamol, she complains of headaches and sleeps a lot",moderate,2,On-call doctor,2025-10-08T18:57:10.603Z
83,"Hi, I made some homemade cookies yesterday and they came out perfectly, the house smelled amazing",none,0,Community line,2025-10-04T21:15:02.802Z
84,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,Fire Department,2025-09-21T01:26:37.864Z
85,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Health hotline,2025-09-15T15:01:26.684Z
86,"I've just been stabbed in the stomach during an assault at train station, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,Fire Department,2025-09-29T05:54:29.448Z
87,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Local police,2025-10-08T12:33:11.546Z
88,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Police,2025-09-17T05:52:40.332Z
89,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Fire Department,2025-09-22T18:09:55.108Z
90,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,N/A,2025-09-29T11:57:47.992Z
91,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Police,2025-09-11T15:59:27.501Z
92,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,N/A,2025-09-29T11:23:46.238Z
93,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Local police,2025-09-24T19:28:13.329Z
94,"There's been a very violent argument at my neighbors' for an hour, I hear screaming, objects breaking and the woman crying, I don't know if I should intervene",moderate,2,On-call doctor,2025-09-25T17:56:11.888Z
95,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,Community line,2025-09-17T15:08:21.056Z
96,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,EMS,2025-09-21T22:43:42.412Z
97,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,Fire Department,2025-10-05T14:33:33.537Z
98,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,Fire Department,2025-09-26T11:00:27.874Z
99,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,General info,2025-09-22T13:29:24.764Z
100,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Police,2025-09-29T01:52:58.570Z
101,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,Fire Department,2025-09-13T19:31:24.999Z
102,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Police,2025-10-02T14:08:15.981Z
103,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Police,2025-09-12T06:26:59.158Z
104,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,Fire Department,2025-09-29T16:14:58.022Z
105,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Police,2025-09-24T21:49:34.531Z
106,"I'm witnessing a serious accident on ring road, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-19T22:25:13.311Z
107,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,EMS,2025-09-19T09:28:08.352Z
108,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Health hotline,2025-10-03T20:37:08.566Z
109,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,Community line,2025-09-19T07:57:09.129Z
110,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Health hotline,2025-09-20T14:14:17.120Z
111,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Police,2025-09-10T19:34:01.611Z
112,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Police,2025-09-24T01:23:53.794Z
113,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Medical advice,2025-10-04T11:23:04.533Z
114,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,General info,2025-10-08T02:35:43.235Z
115,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Health hotline,2025-09-30T00:46:19.837Z
116,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,EMS,2025-10-02T22:23:17.469Z
117,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Police,2025-09-20T13:02:35.983Z
118,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,Community line,2025-09-26T12:29:17.260Z
119,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Police,2025-09-26T07:38:24.066Z
120,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,N/A,2025-09-20T14:59:17.326Z
121,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Police,2025-10-05T08:21:18.396Z
122,"My husband has had terrible chest pain for 30 minutes, he's sweating a lot, he says it feels like a huge weight on his chest, he's 55 and has a heart condition",urgent,3,Fire Department,2025-09-28T16:54:20.537Z
123,"Hello yes, I'm at shopping mall, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Police,2025-10-06T17:55:05.704Z
124,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,Police,2025-09-25T09:56:17.328Z
125,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Health hotline,2025-10-04T15:12:22.245Z
126,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,EMS,2025-09-11T18:04:13.607Z
127,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Health hotline,2025-09-22T07:31:44.317Z
128,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Police,2025-09-19T17:25:19.694Z
129,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,Community line,2025-09-21T07:42:20.350Z
130,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,Community line,2025-09-12T11:42:08.077Z
131,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Fire Department,2025-09-14T13:13:02.181Z
132,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Police,2025-09-21T12:37:15.020Z
133,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Fire Department,2025-10-09T09:01:49.998Z
134,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Local police,2025-09-11T11:18:22.840Z
135,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,Police,2025-10-07T14:56:42.302Z
136,"I've just been stabbed in the stomach during an assault at Maple neighborhood, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,Fire Department,2025-10-10T11:49:46.478Z
137,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,EMS,2025-10-06T08:59:14.591Z
138,"There was an explosion in my building at shopping mall, I'm in the basement, there's debris everywhere, I'm trapped under a beam and my leg hurts badly, I think it's broken, I can feel blood flowing",critical,4,EMS,2025-10-05T21:40:49.878Z
139,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Fire Department,2025-09-11T23:41:55.360Z
140,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,Community line,2025-09-15T01:44:19.382Z
141,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,EMS,2025-10-10T06:55:21.108Z
142,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,Fire Department,2025-09-27T12:51:33.005Z
143,"There's been a very violent argument at my neighbors' for an hour, I hear screaming, objects breaking and the woman crying, I don't know if I should intervene",moderate,2,Fire Department,2025-10-02T08:55:53.091Z
144,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Health hotline,2025-09-22T02:19:22.527Z
145,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Fire Department,2025-09-30T22:29:51.246Z
146,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,EMS,2025-09-19T06:36:43.841Z
147,"There was an explosion in my building at 34 Oak Street, I'm in the basement, there's debris everywhere, I'm trapped under a beam and my leg hurts badly, I think it's broken, I can feel blood flowing",critical,4,Fire Department,2025-09-18T04:22:09.396Z
148,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,N/A,2025-09-13T21:55:45.156Z
149,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,Police,2025-09-14T04:05:20.683Z
150,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,EMS,2025-09-22T09:40:43.710Z
151,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-09-29T16:34:58.444Z
152,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,General info,2025-10-07T01:38:51.941Z
153,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,General info,2025-10-07T12:21:13.645Z
154,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,Fire Department,2025-09-11T19:07:18.504Z
155,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,EMS,2025-09-12T08:49:53.531Z
156,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,EMS,2025-09-13T16:40:05.205Z
157,"I've just been stabbed in the stomach during an assault at 12 Washington Avenue, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,EMS,2025-09-15T13:29:13.141Z
158,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,Community line,2025-09-13T22:53:22.840Z
159,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,EMS,2025-09-11T11:14:21.637Z
160,"Hello yes, I'm at shopping mall, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,EMS,2025-10-03T22:16:37.086Z
161,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,Community line,2025-10-08T07:53:56.808Z
162,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,N/A,2025-09-30T20:10:21.816Z
163,"My 5-year-old daughter has had a fever that won't go down for 48 hours, she's at 39.5°C even after paracetamol, she complains of headaches and sleeps a lot",moderate,2,Police,2025-10-02T23:23:50.919Z
164,"I just had a motorcycle accident on Route 66 near Phoenix, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,EMS,2025-09-23T17:26:08.907Z
165,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Fire Department,2025-09-17T00:10:19.267Z
166,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Fire Department,2025-09-30T04:12:15.465Z
167,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Fire Department,2025-09-12T08:57:35.666Z
168,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,EMS,2025-09-13T09:45:16.525Z
